dataset,q_id,method,transformation_type,original_query,variation,valid,follow_category
DLTypo,105581,WordSwapNeighboringCharacterSwap,mispelling,mab about you,amb about you,TRUE,TRUE
DLTypo,105826,WordSwapNeighboringCharacterSwap,mispelling,mason dixson line,mason idxson line,TRUE,TRUE
DLTypo,105899,WordSwapNeighboringCharacterSwap,mispelling,medal taste in mouth symptoms,medal taste in mouth symtpoms,TRUE,TRUE
DLTypo,106158,WordSwapNeighboringCharacterSwap,mispelling,mobile omes for sale,ombile omes for sale,TRUE,TRUE
DLTypo,107625,WordSwapNeighboringCharacterSwap,mispelling,polar hear rate monitor,polar hear rate mnoitor,TRUE,TRUE
DLTypo,108039,WordSwapNeighboringCharacterSwap,mispelling,real gohst pics,real gohst pcis,TRUE,TRUE
DLTypo,108875,WordSwapNeighboringCharacterSwap,mispelling,singer axel rose,singer axel orse,TRUE,TRUE
DLTypo,109323,WordSwapNeighboringCharacterSwap,mispelling,steelers heinz filed tickets,steelers ehinz filed tickets,TRUE,TRUE
DLTypo,4271677555,WordSwapNeighboringCharacterSwap,mispelling,stint for kidney stones,stint for ikdney stones,TRUE,TRUE
DLTypo,109410,WordSwapNeighboringCharacterSwap,mispelling,student loans from a banck,sutdent loans from a banck,TRUE,TRUE
DLTypo,109537,WordSwapNeighboringCharacterSwap,mispelling,symptoms of gential herpes,symptoms of gentila herpes,TRUE,TRUE
DLTypo,109599,WordSwapNeighboringCharacterSwap,mispelling,taning bed eye damage,taning bed eey damage,TRUE,TRUE
DLTypo,109832,WordSwapNeighboringCharacterSwap,mispelling,the great catsby,the rgeat catsby,TRUE,TRUE
DLTypo,109873,WordSwapNeighboringCharacterSwap,mispelling,the miami hearld,the mimai hearld,TRUE,TRUE
DLTypo,109978,WordSwapNeighboringCharacterSwap,mispelling,things to do when broed,things to do when rboed,TRUE,TRUE
DLTypo,110090,WordSwapNeighboringCharacterSwap,mispelling,toliet gurgles after flushing,tloiet gurgles after flushing,TRUE,TRUE
DLTypo,110271,WordSwapNeighboringCharacterSwap,mispelling,troy built tiller,troy bulit tiller,TRUE,TRUE
DLTypo,110434,WordSwapNeighboringCharacterSwap,mispelling,university of tennesse,unviersity of tennesse,TRUE,TRUE
DLTypo,110445,WordSwapNeighboringCharacterSwap,mispelling,untied health care,untied health crae,TRUE,TRUE
DLTypo,110633,WordSwapNeighboringCharacterSwap,mispelling,venitian las vegas,venitian las vgeas,TRUE,TRUE
DLTypo,110843,WordSwapNeighboringCharacterSwap,mispelling,washington state goverment,wsahington state goverment,TRUE,TRUE
DLTypo,110992,WordSwapNeighboringCharacterSwap,mispelling,what causes stomache cancer,what causse stomache cancer,TRUE,TRUE
DLTypo,110999,WordSwapNeighboringCharacterSwap,mispelling,what does excupatory mean,what does excupatory eman,TRUE,TRUE
DLTypo,111002,WordSwapNeighboringCharacterSwap,mispelling,what does the declaration of independance represent,what does the declaration of independance repreesnt,TRUE,TRUE
DLTypo,111014,WordSwapNeighboringCharacterSwap,mispelling,what is acid reflex,what is caid reflex,TRUE,TRUE
DLTypo,1245295473,WordSwapNeighboringCharacterSwap,mispelling,what is acreis,what is acresi,TRUE,TRUE
DLTypo,111024,WordSwapNeighboringCharacterSwap,mispelling,what is hepatitus,what is hpeatitus,TRUE,TRUE
DLTypo,111026,WordSwapNeighboringCharacterSwap,mispelling,what is leader of algonquians civilization,what is laeder of algonquians civilization,TRUE,TRUE
DLTypo,111043,WordSwapNeighboringCharacterSwap,mispelling,what kind of medicine is zytec,what kind of medicine is zytce,TRUE,TRUE
DLTypo,111056,WordSwapNeighboringCharacterSwap,mispelling,what to feed tood frogs,what to efed tood frogs,TRUE,TRUE
DLTypo,99118,WordSwapQWERTY,mispelling,alchol and drug rehab,alchol and drug reuab,TRUE,TRUE
DLTypo,99431,WordSwapQWERTY,mispelling,applying for bussiness loans,applying for busslness loans,TRUE,TRUE
DLTypo,99450,WordSwapQWERTY,mispelling,ared hat society,zred hat society,TRUE,TRUE
DLTypo,99478,WordSwapQWERTY,mispelling,army physical fittness test,army physical fittnrss test,TRUE,TRUE
DLTypo,99636,WordSwapQWERTY,mispelling,azygous lobe in the lung,azygous oobe in the lung,TRUE,TRUE
DLTypo,100382,WordSwapQWERTY,mispelling,cache creek casion,cache crfek casion,TRUE,TRUE
DLTypo,100508,WordSwapQWERTY,mispelling,car accident lawers,dar accident lawers,TRUE,TRUE
DLTypo,2230899496,WordSwapQWERTY,mispelling,congential seizures in dogs,congential seizurds in dogs,TRUE,TRUE
DLTypo,102043,WordSwapQWERTY,mispelling,drug teting in animals,drug teting in animaps,TRUE,TRUE
DLTypo,102400,WordSwapQWERTY,mispelling,facts about chirs brown,facts about chies brown,TRUE,TRUE
DLTypo,102610,WordSwapQWERTY,mispelling,flee market buildings,flee marlet buildings,TRUE,TRUE
DLTypo,103451,WordSwapQWERTY,mispelling,guide to create a cover latter,guide to crdate a cover latter,TRUE,TRUE
DLTypo,103540,WordSwapQWERTY,mispelling,haravrd medical school,haravrd medlcal school,TRUE,TRUE
DLTypo,103941,WordSwapQWERTY,mispelling,how did confusianism create order in china,how did confusixnism create order in china,TRUE,TRUE
DLTypo,103945,WordSwapQWERTY,mispelling,how do i clean my computor monitor screen,how do i clean my compktor monitor screen,TRUE,TRUE
DLTypo,103963,WordSwapQWERTY,mispelling,how far is it from san diego to tiajuana mexico,how far is it from san diego to tiajuana kexico,TRUE,TRUE
DLTypo,103970,WordSwapQWERTY,mispelling,how long does amoxicilin work for,how long does amoxiculin work for,TRUE,TRUE
DLTypo,103973,WordSwapQWERTY,mispelling,how long to wait after an oral intervew,how lonr to wait after an oral intervew,TRUE,TRUE
DLTypo,103983,WordSwapQWERTY,mispelling,how money does the show seinfled make,how money does the show seinfled nake,TRUE,TRUE
DLTypo,104002,WordSwapQWERTY,mispelling,how to blanch frise,how to blanch frisw,TRUE,TRUE
DLTypo,104009,WordSwapQWERTY,mispelling,how to clean siver,how to clean slver,TRUE,TRUE
DLTypo,104012,WordSwapQWERTY,mispelling,how to clear bad exzema,how to cleaf bad exzema,TRUE,TRUE
DLTypo,104037,WordSwapQWERTY,mispelling,how to get ride of dust mites,how to get ride of dust mitea,TRUE,TRUE
DLTypo,104047,WordSwapQWERTY,mispelling,how to lay basemen drain pipes,how to lay bqsemen drain pipes,TRUE,TRUE
DLTypo,104063,WordSwapQWERTY,mispelling,how to plant a graden,how to plwnt a graden,TRUE,TRUE
DLTypo,104107,WordSwapQWERTY,mispelling,how to write a foral letter,how to write a forak letter,TRUE,TRUE
DLTypo,104345,WordSwapQWERTY,mispelling,information on water lilly,infotmation on water lilly,TRUE,TRUE
DLTypo,104867,WordSwapQWERTY,mispelling,kenmore elite refridgerator,ksnmore elite refridgerator,TRUE,TRUE
DLTypo,104925,WordSwapQWERTY,mispelling,kindey bun levels,kindey buh levels,TRUE,TRUE
DLTypo,105415,WordSwapQWERTY,mispelling,los angelel unified school district,lps angelel unified school district,TRUE,TRUE
DLTypo,105581,WordSwapQWERTY,mispelling,mab about you,jab about you,TRUE,TRUE
DLTypo,105826,WordSwapQWERTY,mispelling,mason dixson line,mason dixqon line,TRUE,TRUE
DLTypo,105899,WordSwapQWERTY,mispelling,medal taste in mouth symptoms,medal taste in mouth symptojs,TRUE,TRUE
DLTypo,106158,WordSwapQWERTY,mispelling,mobile omes for sale,mobile omfs for sale,TRUE,TRUE
DLTypo,107625,WordSwapQWERTY,mispelling,polar hear rate monitor,polar hear rate monitot,TRUE,TRUE
DLTypo,108039,WordSwapQWERTY,mispelling,real gohst pics,resl gohst pics,TRUE,TRUE
DLTypo,108875,WordSwapQWERTY,mispelling,singer axel rose,singer axel rosd,TRUE,TRUE
DLTypo,109323,WordSwapQWERTY,mispelling,steelers heinz filed tickets,steeldrs heinz filed tickets,TRUE,TRUE
DLTypo,4271677555,WordSwapQWERTY,mispelling,stint for kidney stones,stint for kidney stoneq,TRUE,TRUE
DLTypo,109410,WordSwapQWERTY,mispelling,student loans from a banck,student loabs from a banck,TRUE,TRUE
DLTypo,109537,WordSwapQWERTY,mispelling,symptoms of gential herpes,symptoms of gential hegpes,TRUE,TRUE
DLTypo,109599,WordSwapQWERTY,mispelling,taning bed eye damage,taning brd eye damage,TRUE,TRUE
DLTypo,109832,WordSwapQWERTY,mispelling,the great catsby,the great catsbj,TRUE,TRUE
DLTypo,109873,WordSwapQWERTY,mispelling,the miami hearld,the miami hearlf,TRUE,TRUE
DLTypo,109978,WordSwapQWERTY,mispelling,things to do when broed,things to do when brodd,TRUE,TRUE
DLTypo,110090,WordSwapQWERTY,mispelling,toliet gurgles after flushing,toliey gurgles after flushing,TRUE,TRUE
DLTypo,110271,WordSwapQWERTY,mispelling,troy built tiller,froy built tiller,TRUE,TRUE
DLTypo,110434,WordSwapQWERTY,mispelling,university of tennesse,universiyy of tennesse,TRUE,TRUE
DLTypo,110445,WordSwapQWERTY,mispelling,untied health care,untied health caee,TRUE,TRUE
DLTypo,110633,WordSwapQWERTY,mispelling,venitian las vegas,venitian las vedas,TRUE,TRUE
DLTypo,110843,WordSwapQWERTY,mispelling,washington state goverment,washington stahe goverment,TRUE,TRUE
DLTypo,110992,WordSwapQWERTY,mispelling,what causes stomache cancer,what causes stomache csncer,TRUE,TRUE
DLTypo,110999,WordSwapQWERTY,mispelling,what does excupatory mean,what does excupatory mesn,TRUE,TRUE
DLTypo,111002,WordSwapQWERTY,mispelling,what does the declaration of independance represent,what does the declaration of independance reprssent,TRUE,TRUE
DLTypo,111014,WordSwapQWERTY,mispelling,what is acid reflex,what is ackd reflex,TRUE,TRUE
DLTypo,1245295473,WordSwapQWERTY,mispelling,what is acreis,what is wcreis,TRUE,TRUE
DLTypo,111024,WordSwapQWERTY,mispelling,what is hepatitus,what is heoatitus,TRUE,TRUE
DLTypo,111026,WordSwapQWERTY,mispelling,what is leader of algonquians civilization,what is leader of algonquians civklization,TRUE,TRUE
DLTypo,111043,WordSwapQWERTY,mispelling,what kind of medicine is zytec,what kind of mddicine is zytec,TRUE,TRUE
DLTypo,111056,WordSwapQWERTY,mispelling,what to feed tood frogs,what to feed tood fgogs,TRUE,TRUE
DLTypo,99118,WordSwapRandomCharacterSubstitution,mispelling,alchol and drug rehab,alchop and drug rehab,TRUE,TRUE
DLTypo,99431,WordSwapRandomCharacterSubstitution,mispelling,applying for bussiness loans,ajplying for bussiness loans,TRUE,TRUE
DLTypo,99450,WordSwapRandomCharacterSubstitution,mispelling,ared hat society,aled hat society,TRUE,TRUE
DLTypo,99478,WordSwapRandomCharacterSubstitution,mispelling,army physical fittness test,army physical fittness tlst,TRUE,TRUE
DLTypo,99636,WordSwapRandomCharacterSubstitution,mispelling,azygous lobe in the lung,azygous lobe in the sung,TRUE,TRUE
DLTypo,100382,WordSwapRandomCharacterSubstitution,mispelling,cache creek casion,cache areek casion,TRUE,TRUE
DLTypo,100508,WordSwapRandomCharacterSubstitution,mispelling,car accident lawers,car accideny lawers,TRUE,TRUE
DLTypo,2230899496,WordSwapRandomCharacterSubstitution,mispelling,congential seizures in dogs,fongential seizures in dogs,TRUE,TRUE
DLTypo,102043,WordSwapRandomCharacterSubstitution,mispelling,drug teting in animals,drug teting in antmals,TRUE,TRUE
DLTypo,102400,WordSwapRandomCharacterSubstitution,mispelling,facts about chirs brown,pacts about chirs brown,TRUE,TRUE
DLTypo,102610,WordSwapRandomCharacterSubstitution,mispelling,flee market buildings,flee merket buildings,TRUE,TRUE
DLTypo,103451,WordSwapRandomCharacterSubstitution,mispelling,guide to create a cover latter,guide to create a cover latber,TRUE,TRUE
DLTypo,103540,WordSwapRandomCharacterSubstitution,mispelling,haravrd medical school,haravrd medicah school,TRUE,TRUE
DLTypo,103941,WordSwapRandomCharacterSubstitution,mispelling,how did confusianism create order in china,how did confusianism yreate order in china,TRUE,TRUE
DLTypo,103945,WordSwapRandomCharacterSubstitution,mispelling,how do i clean my computor monitor screen,how do i cleas my computor monitor screen,TRUE,TRUE
DLTypo,103963,WordSwapRandomCharacterSubstitution,mispelling,how far is it from san diego to tiajuana mexico,how far is it from san diego to tiajuana mehico,TRUE,TRUE
DLTypo,103970,WordSwapRandomCharacterSubstitution,mispelling,how long does amoxicilin work for,how long does amoxicilin wvrk for,TRUE,TRUE
DLTypo,103973,WordSwapRandomCharacterSubstitution,mispelling,how long to wait after an oral intervew,how long to wpit after an oral intervew,TRUE,TRUE
DLTypo,103983,WordSwapRandomCharacterSubstitution,mispelling,how money does the show seinfled make,how money does the sqow seinfled make,TRUE,TRUE
DLTypo,104002,WordSwapRandomCharacterSubstitution,mispelling,how to blanch frise,how to blanch fiise,TRUE,TRUE
DLTypo,104009,WordSwapRandomCharacterSubstitution,mispelling,how to clean siver,how to clead siver,TRUE,TRUE
DLTypo,104012,WordSwapRandomCharacterSubstitution,mispelling,how to clear bad exzema,how to clear gad exzema,TRUE,TRUE
DLTypo,104037,WordSwapRandomCharacterSubstitution,mispelling,how to get ride of dust mites,how to get ride of dusu mites,TRUE,TRUE
DLTypo,104047,WordSwapRandomCharacterSubstitution,mispelling,how to lay basemen drain pipes,how to lay casemen drain pipes,TRUE,TRUE
DLTypo,104063,WordSwapRandomCharacterSubstitution,mispelling,how to plant a graden,how to plait a graden,TRUE,TRUE
DLTypo,104107,WordSwapRandomCharacterSubstitution,mispelling,how to write a foral letter,how to wrgte a foral letter,TRUE,TRUE
DLTypo,104345,WordSwapRandomCharacterSubstitution,mispelling,information on water lilly,information on waper lilly,TRUE,TRUE
DLTypo,104867,WordSwapRandomCharacterSubstitution,mispelling,kenmore elite refridgerator,kenmore elite refridgerator,FALSE,FALSE
DLTypo,104925,WordSwapRandomCharacterSubstitution,mispelling,kindey bun levels,kindey bub levels,TRUE,TRUE
DLTypo,105415,WordSwapRandomCharacterSubstitution,mispelling,los angelel unified school district,los angelel unified school distribt,TRUE,TRUE
DLTypo,105581,WordSwapRandomCharacterSubstitution,mispelling,mab about you,mai about you,TRUE,TRUE
DLTypo,105826,WordSwapRandomCharacterSubstitution,mispelling,mason dixson line,macon dixson line,TRUE,TRUE
DLTypo,105899,WordSwapRandomCharacterSubstitution,mispelling,medal taste in mouth symptoms,medal taste in louth symptoms,TRUE,TRUE
DLTypo,106158,WordSwapRandomCharacterSubstitution,mispelling,mobile omes for sale,mobile omas for sale,TRUE,TRUE
DLTypo,107625,WordSwapRandomCharacterSubstitution,mispelling,polar hear rate monitor,polar hear rate bonitor,TRUE,TRUE
DLTypo,108039,WordSwapRandomCharacterSubstitution,mispelling,real gohst pics,real gohst bics,TRUE,TRUE
DLTypo,108875,WordSwapRandomCharacterSubstitution,mispelling,singer axel rose,singer axel rome,TRUE,TRUE
DLTypo,109323,WordSwapRandomCharacterSubstitution,mispelling,steelers heinz filed tickets,steelers heinz fiwed tickets,TRUE,TRUE
DLTypo,4271677555,WordSwapRandomCharacterSubstitution,mispelling,stint for kidney stones,stint for kidney stonbs,TRUE,TRUE
DLTypo,109410,WordSwapRandomCharacterSubstitution,mispelling,student loans from a banck,student loans from a bancd,TRUE,TRUE
DLTypo,109537,WordSwapRandomCharacterSubstitution,mispelling,symptoms of gential herpes,uymptoms of gential herpes,TRUE,TRUE
DLTypo,109599,WordSwapRandomCharacterSubstitution,mispelling,taning bed eye damage,toning bed eye damage,TRUE,TRUE
DLTypo,109832,WordSwapRandomCharacterSubstitution,mispelling,the great catsby,the great cagsby,TRUE,TRUE
DLTypo,109873,WordSwapRandomCharacterSubstitution,mispelling,the miami hearld,the miami hearla,TRUE,TRUE
DLTypo,109978,WordSwapRandomCharacterSubstitution,mispelling,things to do when broed,things to do when brved,TRUE,TRUE
DLTypo,110090,WordSwapRandomCharacterSubstitution,mispelling,toliet gurgles after flushing,uoliet gurgles after flushing,TRUE,TRUE
DLTypo,110271,WordSwapRandomCharacterSubstitution,mispelling,troy built tiller,trot built tiller,TRUE,TRUE
DLTypo,110434,WordSwapRandomCharacterSubstitution,mispelling,university of tennesse,university of tennesfe,TRUE,TRUE
DLTypo,110445,WordSwapRandomCharacterSubstitution,mispelling,untied health care,untied health cary,TRUE,TRUE
DLTypo,110633,WordSwapRandomCharacterSubstitution,mispelling,venitian las vegas,venitian las vegls,TRUE,TRUE
DLTypo,110843,WordSwapRandomCharacterSubstitution,mispelling,washington state goverment,washington state glverment,TRUE,TRUE
DLTypo,110992,WordSwapRandomCharacterSubstitution,mispelling,what causes stomache cancer,what causes stomache sancer,TRUE,TRUE
DLTypo,110999,WordSwapRandomCharacterSubstitution,mispelling,what does excupatory mean,what does excupatory meac,TRUE,TRUE
DLTypo,111002,WordSwapRandomCharacterSubstitution,mispelling,what does the declaration of independance represent,what does the declaration of independance represant,TRUE,TRUE
DLTypo,111014,WordSwapRandomCharacterSubstitution,mispelling,what is acid reflex,what is acid reflnx,TRUE,TRUE
DLTypo,1245295473,WordSwapRandomCharacterSubstitution,mispelling,what is acreis,what is acjeis,TRUE,TRUE
DLTypo,111024,WordSwapRandomCharacterSubstitution,mispelling,what is hepatitus,what is pepatitus,TRUE,TRUE
DLTypo,111026,WordSwapRandomCharacterSubstitution,mispelling,what is leader of algonquians civilization,what is leader of algonquians civilizatiox,TRUE,TRUE
DLTypo,111043,WordSwapRandomCharacterSubstitution,mispelling,what kind of medicine is zytec,what kind of mediciee is zytec,TRUE,TRUE
DLTypo,111056,WordSwapRandomCharacterSubstitution,mispelling,what to feed tood frogs,what to fwed tood frogs,TRUE,TRUE
DLTypo,99118,WordSwapWordNet,synonym,alchol and drug rehab,alchol and dose rehab,FALSE,TRUE
DLTypo,99431,WordSwapWordNet,synonym,applying for bussiness loans,applying for bussiness lend,TRUE,TRUE
DLTypo,99450,WordSwapWordNet,synonym,ared hat society,ared hat company,TRUE,TRUE
DLTypo,99478,WordSwapWordNet,synonym,army physical fittness test,army physical fittness prove,TRUE,TRUE
DLTypo,99636,WordSwapWordNet,synonym,azygous lobe in the lung,azygos lobe in the lung,TRUE,TRUE
DLTypo,100382,WordSwapWordNet,synonym,cache creek casion,cache brook casion,TRUE,TRUE
DLTypo,100508,WordSwapWordNet,synonym,car accident lawers,railcar accident lawers,FALSE,TRUE
DLTypo,2230899496,WordSwapWordNet,synonym,congential seizures in dogs,congential seizures in dog,TRUE,TRUE
DLTypo,102043,WordSwapWordNet,synonym,drug teting in animals,drug teting in creature,TRUE,TRUE
DLTypo,102400,WordSwapWordNet,synonym,facts about chirs brown,facts about chirs chocolate-brown,FALSE,TRUE
DLTypo,102610,WordSwapWordNet,synonym,flee market buildings,flee mart buildings,TRUE,TRUE
DLTypo,103451,WordSwapWordNet,synonym,guide to create a cover latter,channelise to create a cover latter,FALSE,TRUE
DLTypo,103540,WordSwapWordNet,synonym,haravrd medical school,haravrd medical schoolhouse,TRUE,TRUE
DLTypo,103941,WordSwapWordNet,synonym,how did confusianism create order in china,how did confusianism produce order in china,TRUE,TRUE
DLTypo,103945,WordSwapWordNet,synonym,how do i clean my computor monitor screen,how do i clean my computor monitor filmdom,FALSE,TRUE
DLTypo,103963,WordSwapWordNet,synonym,how far is it from san diego to tiajuana mexico,how far is it from san diego to tiajuana mexico,FALSE,FALSE
DLTypo,103970,WordSwapWordNet,synonym,how long does amoxicilin work for,how farseeing does amoxicilin work for,TRUE,TRUE
DLTypo,103973,WordSwapWordNet,synonym,how long to wait after an oral intervew,how long to expect after an oral intervew,TRUE,TRUE
DLTypo,103983,WordSwapWordNet,synonym,how money does the show seinfled make,how money does the show seinfled puddle,FALSE,TRUE
DLTypo,104002,WordSwapWordNet,synonym,how to blanch frise,how to pale frise,FALSE,TRUE
DLTypo,104009,WordSwapWordNet,synonym,how to clean siver,how to uncontaminating siver,TRUE,TRUE
DLTypo,104012,WordSwapWordNet,synonym,how to clear bad exzema,how to clear high-risk exzema,TRUE,TRUE
DLTypo,104037,WordSwapWordNet,synonym,how to get ride of dust mites,how to become ride of dust mites,FALSE,TRUE
DLTypo,104047,WordSwapWordNet,synonym,how to lay basemen drain pipes,how to lay basemen drainpipe pipes,TRUE,TRUE
DLTypo,104063,WordSwapWordNet,synonym,how to plant a graden,how to constitute a graden,TRUE,TRUE
DLTypo,104107,WordSwapWordNet,synonym,how to write a foral letter,how to spell a foral letter,TRUE,TRUE
DLTypo,104345,WordSwapWordNet,synonym,information on water lilly,data on water lilly,TRUE,TRUE
DLTypo,104867,WordSwapWordNet,synonym,kenmore elite refridgerator,kenmore elect refridgerator,FALSE,TRUE
DLTypo,104925,WordSwapWordNet,synonym,kindey bun levels,kindey bun story,FALSE,TRUE
DLTypo,105415,WordSwapWordNet,synonym,los angelel unified school district,los angelel incorporate school district,TRUE,TRUE
DLTypo,105581,WordSwapWordNet,synonym,mab about you,mab about you,FALSE,FALSE
DLTypo,105826,WordSwapWordNet,synonym,mason dixson line,mason dixson occupation,FALSE,TRUE
DLTypo,105899,WordSwapWordNet,synonym,medal taste in mouth symptoms,decoration taste in mouth symptoms,FALSE,TRUE
DLTypo,106158,WordSwapWordNet,synonym,mobile omes for sale,wandering omes for sale,FALSE,TRUE
DLTypo,107625,WordSwapWordNet,synonym,polar hear rate monitor,polar try rate monitor,FALSE,TRUE
DLTypo,108039,WordSwapWordNet,synonym,real gohst pics,veridical gohst pics,TRUE,TRUE
DLTypo,108875,WordSwapWordNet,synonym,singer axel rose,singer axel resurrect,FALSE,TRUE
DLTypo,109323,WordSwapWordNet,synonym,steelers heinz filed tickets,steelers heinz filed ticket,TRUE,TRUE
DLTypo,4271677555,WordSwapWordNet,synonym,stint for kidney stones,skimp for kidney stones,FALSE,TRUE
DLTypo,109410,WordSwapWordNet,synonym,student loans from a banck,pupil loans from a banck,TRUE,TRUE
DLTypo,109537,WordSwapWordNet,synonym,symptoms of gential herpes,symptom of gential herpes,TRUE,TRUE
DLTypo,109599,WordSwapWordNet,synonym,taning bed eye damage,taning bed eye wrong,TRUE,TRUE
DLTypo,109832,WordSwapWordNet,synonym,the great catsby,the majuscule catsby,FALSE,TRUE
DLTypo,109873,WordSwapWordNet,synonym,the miami hearld,the miami hearld,FALSE,FALSE
DLTypo,109978,WordSwapWordNet,synonym,things to do when broed,matter to do when broed,FALSE,TRUE
DLTypo,110090,WordSwapWordNet,synonym,toliet gurgles after flushing,toliet gurgles after flush,TRUE,TRUE
DLTypo,110271,WordSwapWordNet,synonym,troy built tiller,troy build tiller,TRUE,TRUE
DLTypo,110434,WordSwapWordNet,synonym,university of tennesse,university of tennesse,FALSE,FALSE
DLTypo,110445,WordSwapWordNet,synonym,untied health care,unbrace health care,FALSE,TRUE
DLTypo,110633,WordSwapWordNet,synonym,venitian las vegas,venitian la vegas,TRUE,FALSE
DLTypo,110843,WordSwapWordNet,synonym,washington state goverment,washington express goverment,FALSE,TRUE
DLTypo,110992,WordSwapWordNet,synonym,what causes stomache cancer,what case stomache cancer,FALSE,TRUE
DLTypo,110999,WordSwapWordNet,synonym,what does excupatory mean,what does excupatory signify,TRUE,TRUE
DLTypo,111002,WordSwapWordNet,synonym,what does the declaration of independance represent,what does the announcement of independance represent,FALSE,TRUE
DLTypo,111014,WordSwapWordNet,synonym,what is acid reflex,what is acid automatic,FALSE,TRUE
DLTypo,1245295473,WordSwapWordNet,synonym,what is acreis,what is acreis,FALSE,FALSE
DLTypo,111024,WordSwapWordNet,synonym,what is hepatitus,what is hepatitus,FALSE,FALSE
DLTypo,111026,WordSwapWordNet,synonym,what is leader of algonquians civilization,what is leader of algonquians culture,TRUE,TRUE
DLTypo,111043,WordSwapWordNet,synonym,what kind of medicine is zytec,what kind of music is zytec,FALSE,FALSE
DLTypo,111056,WordSwapWordNet,synonym,what to feed tood frogs,what to course tood frogs,FALSE,FALSE